#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                   keystream.bin|  5.28e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.57898839|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.78460962|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.10492244|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.00577064|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.92186184|  PASSED  
        diehard_opso|   0|   2097152|     100|0.81685461|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.70459187|  PASSED  
         diehard_dna|   0|   2097152|     100|0.45041544|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.52111330|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.92981968|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.42137346|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.99016042|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.62121437|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.12671044|  PASSED  
        diehard_sums|   0|       100|     100|0.00997266|  PASSED  
        diehard_runs|   0|    100000|     100|0.69259145|  PASSED  
        diehard_runs|   0|    100000|     100|0.71092643|  PASSED  
       diehard_craps|   0|    200000|     100|0.49475606|  PASSED  
       diehard_craps|   0|    200000|     100|0.75551465|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.25768422|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.96345035|  PASSED  
         sts_monobit|   1|    100000|     100|0.88682660|  PASSED  
            sts_runs|   2|    100000|     100|0.89614351|  PASSED  
          sts_serial|   1|    100000|     100|0.97406289|  PASSED  
          sts_serial|   2|    100000|     100|0.90179517|  PASSED  
          sts_serial|   3|    100000|     100|0.62860566|  PASSED  
          sts_serial|   3|    100000|     100|0.15769076|  PASSED  
          sts_serial|   4|    100000|     100|0.81689835|  PASSED  
          sts_serial|   4|    100000|     100|0.99190409|  PASSED  
          sts_serial|   5|    100000|     100|0.51047687|  PASSED  
          sts_serial|   5|    100000|     100|0.73904044|  PASSED  
          sts_serial|   6|    100000|     100|0.69210404|  PASSED  
